date,Day,DayWeek ,detail expands,engagement rate,engagements,hashtag clicks,impressions,likes,media engagements,media views,month,MonthName,Quarter,replies,retweets,time,Tweet,url clicks,user profile clicks,year
2020-06-01 00:00:00,1,Monday,0,0.016901408,6,0,355,3,2,87,6,June,Q2,1,0,1899-12-30 06:04:00,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id #etiam,0,0,2020
2020-06-01 00:00:00,1,Monday,2,0.027118644,8,0,295,4,0,0,6,June,Q2,2,0,1899-12-30 20:50:00,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida #aenean,0,0,2020
2020-06-01 00:00:00,1,Monday,4,0.008595989,6,0,698,2,0,0,6,June,Q2,0,0,1899-12-30 20:29:00,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit #ultrices,0,0,2020
2020-06-01 00:00:00,1,Monday,5,0.040178571,9,0,224,2,0,0,6,June,Q2,2,0,1899-12-30 21:03:00,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan #cubilia,0,0,2020
2020-06-01 00:00:00,1,Monday,6,0.012802276,18,0,1406,6,0,0,6,June,Q2,1,0,1899-12-30 17:51:00,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus #vel,0,5,2020
2020-08-01 00:00:00,1,Saturday,0,0.002178649,1,0,459,1,0,0,8,August,Q3,0,0,1899-12-30 01:32:00,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam #eleifend,0,0,2020
2020-08-01 00:00:00,1,Saturday,0,0.008130081,2,0,246,1,0,0,8,August,Q3,1,0,1899-12-30 01:47:00,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus #congue,0,0,2020
2020-08-01 00:00:00,1,Saturday,2,0.009966777,3,0,301,0,0,0,8,August,Q3,1,0,1899-12-30 01:45:00,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa #bibendum,0,0,2020
2020-08-01 00:00:00,1,Saturday,3,0.032786885,22,0,671,4,10,87,8,August,Q3,1,0,1899-12-30 22:27:00,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut #etiam,0,4,2020
2020-08-01 00:00:00,1,Saturday,7,0.006384677,16,0,2506,5,0,0,8,August,Q3,0,3,1899-12-30 04:34:00,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit #lacinia,0,1,2020
